
Unit Economics,,,,,,,,,,,,,,,,,,,,,Manning Cost,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, Margin ,15%,,,, Hot Kitchen Employee Cost ,,,,,,,,,,Packaging Employee Cost & QC Cost,,,,,,,,,,,,,
 35.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,56.55%,#N/A, 35.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 36.00 ,,,Gm,1000, 1.00 , -   ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 24.48 , 7.50 , 31.98 , 3.67 , 35.66 ,0%,55.33%,55.33%, 36.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 37.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,58.52%,#REF!, 37.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 38.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,50.74%,#N/A, 38.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 39.00 ,,,Gm,1000, 1.00 , 96.76 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 121.24 , 7.50 , 128.74 , 18.19 , 146.93 ,66%,67.63%,1.78%, 39.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 40.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,66.90%,#REF!, 40.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 41.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,58.42%,#REF!, 41.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 42.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,66.97%,#REF!, 42.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 43.00 ,,,Gm,1000, 1.00 , 49.08 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 73.56 , 7.50 , 81.06 , 11.03 , 92.10 ,53%,55.25%,1.96%, 43.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 44.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,68.83%,#REF!, 44.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 45.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,69.21%,#REF!, 45.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 46.00 ,,,Gm,1000, 1.00 , 91.51 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 116.00 , 7.50 , 123.50 , 17.40 , 140.89 ,65%,68.27%,3.32%, 46.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 47.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,64.22%,#REF!, 47.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 48.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,49.58%,#REF!, 48.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 50.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,57.16%,#REF!, 49.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 51.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,66.68%,#REF!, 50.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 53.00 ,,,Gm,1000, 1.00 , 49.29 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 73.77 , 7.50 , 81.27 , 11.07 , 92.33 ,53%,56.64%,3.26%, 52.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 54.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,43.67%,#REF!, 53.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 55.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,54.67%,#REF!, 54.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 56.00 ,,,Gm,1000, 1.00 , 44.50 ,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 , 68.99 , 7.50 , 76.49 , 10.35 , 86.83 ,51%,51.26%,0.01%, 55.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 57.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,62.40%,#REF!, 56.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 58.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,53.54%,#REF!, 57.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 59.00 ,,,Gm,1000, 1.00 ,#REF!,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#REF!, 7.50 ,#REF!,#REF!,#REF!,#REF!,65.87%,#REF!, 58.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
 60.00 ,,,Gm,1000, 1.00 ,#N/A,12.0, 4.68 , 5.00 , 1.43 , 0.69 , 0.69 ,#N/A, 7.50 ,#N/A,#N/A,#N/A,#N/A,4.76%,#N/A, 59.00 ,0, 50.00 , 2.50 , 5.00 , 300.00 , 6.00 ," 25,000.00 ", 1.89 , 11.31 , 50.00 , 1.00 , 0.50 , 30.00 , 0.60 ," 15,000.00 ", 1.13 , 0.68 , 11.99 ,,,,,
